"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 30 12:49:43 EEST 2022","Mon May 30 12:49:50 EEST 2022","6979","","Client Corporate structure page test","","Client Corporate structure page test","Verify remove btn","Verify remove btn",""
"passed","Tue May 31 11:57:45 EEST 2022","Tue May 31 11:58:10 EEST 2022","24841","","Travel booking Service, documents and finance test","","Travel booking Service, documents and finance test","Verify service Recurring Purchase Orders","Verify service Recurring Purchase Orders",""
"passed","Tue May 31 11:54:44 EEST 2022","Tue May 31 11:55:08 EEST 2022","23922","","Temp Accommodation(Origin) Service, test","","Temp Accommodation(Origin) Service, test","Verify service Recurring Purchase Orders","Verify service Recurring Purchase Orders",""
"passed","Tue May 31 11:52:22 EEST 2022","Tue May 31 11:52:35 EEST 2022","12915","","Temp Accommodation(Origin) Service, test","","Temp Accommodation(Origin) Service, test","Verify remove service partner","Verify remove service partner",""
"passed","Tue May 31 11:55:50 EEST 2022","Tue May 31 11:56:08 EEST 2022","17785","","Travel booking Service, documents and finance test","","Travel booking Service, documents and finance test","Go to Services / Travel booking tab and check label","Go to Services / Travel booking tab and check label",""
"passed","Tue May 31 11:52:15 EEST 2022","Tue May 31 11:52:22 EEST 2022","7378","","Temp Accommodation(Origin) Service, test","","Temp Accommodation(Origin) Service, test","Verify Initiate service partner","Verify Initiate service partner",""
"passed","Tue May 31 11:54:09 EEST 2022","Tue May 31 11:54:44 EEST 2022","34692","","Temp Accommodation(Origin) Service, test","","Temp Accommodation(Origin) Service, test","Verify service Sales Order","Verify service Sales Order",""
"passed","Mon May 30 12:47:36 EEST 2022","Mon May 30 12:47:47 EEST 2022","11676","","Client Corporate structure page test","","Client Corporate structure page test","Verify Child person form ","Verify Child person form ",""
"passed","Mon May 30 12:42:33 EEST 2022","Mon May 30 12:42:49 EEST 2022","16127","","Asignee Overview page test","","Asignee Overview page test","open ClientsPage and check label","open ClientsPage and check label",""
"passed","Tue May 31 11:45:42 EEST 2022","Tue May 31 11:45:59 EEST 2022","16454","","Temp Accommodation(Origin) Service, Need Analysis Section test","","Temp Accommodation(Origin) Service, Need Analysis Section test","Go to Services / Temp accommodation (Origin) tab and check label","Go to Services / Temp accommodation (Origin) tab and check label",""
"passed","Mon May 30 12:45:21 EEST 2022","Mon May 30 12:45:34 EEST 2022","13548","","Asignee Overview page test","","Asignee Overview page test","Assignee workPhone input","Assignee workPhone input",""
"passed","Tue May 31 11:53:08 EEST 2022","Tue May 31 11:53:34 EEST 2022","26840","","Temp Accommodation(Origin) Service, test","","Temp Accommodation(Origin) Service, test","Verify service documents","Verify service documents",""
