"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon May 30 11:47:08 EEST 2022","Mon May 30 11:47:08 EEST 2022","0","","Client Corporate structure page test","","Client Corporate structure page test","Verify pet Edit form ","Verify pet Edit form ",""
"passed","Mon May 30 11:44:47 EEST 2022","Mon May 30 11:45:11 EEST 2022","23770","","Client Corporate structure page test","","Client Corporate structure page test","Verify Edit Partner form ","Verify Edit Partner form ",""
"passed","Mon May 30 11:46:49 EEST 2022","Mon May 30 11:47:06 EEST 2022","16733","","Client Corporate structure page test","","Client Corporate structure page test","Verify pet Edit form ","Verify pet Edit form ",""
"passed","Mon May 30 11:42:09 EEST 2022","Mon May 30 11:42:23 EEST 2022","14398","","Asignee Overview page test","","Asignee Overview page test","Assignee nationality input","Assignee nationality input",""
"passed","Mon May 30 11:45:59 EEST 2022","Mon May 30 11:46:22 EEST 2022","23097","","Client Corporate structure page test","","Client Corporate structure page test","Verify child person Edit","Verify child person Edit",""
"passed","Mon May 30 11:44:20 EEST 2022","Mon May 30 11:44:34 EEST 2022","14535","","Client Corporate structure page test","","Client Corporate structure page test","Go to Assignee Family tab and check label","Go to Assignee Family tab and check label",""
"skipped","Mon May 30 11:47:08 EEST 2022","Mon May 30 11:47:08 EEST 2022","0","","Client Corporate structure page test","","Client Corporate structure page test","Go to Assignee Pet tab and check label","Go to Assignee Pet tab and check label",""
"passed","Mon May 30 11:47:11 EEST 2022","Mon May 30 11:47:23 EEST 2022","12469","","Client Corporate structure page test","","Client Corporate structure page test","Go to Assignee documents tab and check label","Go to Assignee documents tab and check label",""
"passed","Mon May 30 11:43:07 EEST 2022","Mon May 30 11:43:21 EEST 2022","13568","","Asignee Overview page test","","Asignee Overview page test","Assignee mobilePhone input","Assignee mobilePhone input",""
"passed","Mon May 30 11:44:03 EEST 2022","Mon May 30 11:44:17 EEST 2022","13601","","Asignee Overview page test","","Asignee Overview page test","Assignee notes input","Assignee notes input",""
"broken","Mon May 30 11:43:48 EEST 2022","Mon May 30 11:44:03 EEST 2022","15509","","Asignee Overview page test","","Asignee Overview page test","Assignee subsidiary input","Assignee subsidiary input",""
"skipped","Mon May 30 11:44:17 EEST 2022","Mon May 30 11:44:17 EEST 2022","0","","Asignee Overview page test","","Asignee Overview page test","Assignee language input","Assignee language input",""
"passed","Mon May 30 11:48:00 EEST 2022","Mon May 30 11:48:03 EEST 2022","2399","","Client Corporate structure page test","","Client Corporate structure page test","Verify unsupported file error","Verify unsupported file error",""
"passed","Mon May 30 11:42:54 EEST 2022","Mon May 30 11:43:07 EEST 2022","13494","","Asignee Overview page test","","Asignee Overview page test","Assignee email input","Assignee email input",""
"passed","Mon May 30 11:43:21 EEST 2022","Mon May 30 11:43:34 EEST 2022","13500","","Asignee Overview page test","","Asignee Overview page test","Assignee homePhone input","Assignee homePhone input",""
"passed","Mon May 30 11:44:34 EEST 2022","Mon May 30 11:44:47 EEST 2022","13341","","Client Corporate structure page test","","Client Corporate structure page test","Verify add Partner form ","Verify add Partner form ",""
"skipped","Mon May 30 11:47:08 EEST 2022","Mon May 30 11:47:08 EEST 2022","0","","Client Corporate structure page test","","Client Corporate structure page test","Verify address form ","Verify address form ",""
"passed","Mon May 30 11:42:40 EEST 2022","Mon May 30 11:42:54 EEST 2022","13908","","Asignee Overview page test","","Asignee Overview page test","Assignee marialStatus input","Assignee marialStatus input",""
"passed","Mon May 30 11:40:46 EEST 2022","Mon May 30 11:41:02 EEST 2022","16576","","Asignee Overview page test","","Asignee Overview page test","open ClientsPage and check label","open ClientsPage and check label",""
"passed","Mon May 30 11:47:53 EEST 2022","Mon May 30 11:48:00 EEST 2022","7023","","Client Corporate structure page test","","Client Corporate structure page test","Verify remove btn","Verify remove btn",""
"passed","Mon May 30 11:43:34 EEST 2022","Mon May 30 11:43:48 EEST 2022","13645","","Asignee Overview page test","","Asignee Overview page test","Assignee workPhone input","Assignee workPhone input",""
"passed","Mon May 30 11:47:34 EEST 2022","Mon May 30 11:47:53 EEST 2022","19351","","Client Corporate structure page test","","Client Corporate structure page test","Verify edit form","Verify edit form",""
"passed","Mon May 30 11:42:23 EEST 2022","Mon May 30 11:42:40 EEST 2022","16193","","Asignee Overview page test","","Asignee Overview page test","Assignee dateOfBirth input","Assignee dateOfBirth input",""
"passed","Mon May 30 11:46:39 EEST 2022","Mon May 30 11:46:49 EEST 2022","10334","","Client Corporate structure page test","","Client Corporate structure page test","Verify pet form ","Verify pet form ",""
"passed","Mon May 30 11:41:32 EEST 2022","Mon May 30 11:41:55 EEST 2022","23378","","Asignee Overview page test","","Asignee Overview page test","Assignee gender input","Assignee gender input",""
"passed","Mon May 30 11:46:24 EEST 2022","Mon May 30 11:46:39 EEST 2022","14332","","Client Corporate structure page test","","Client Corporate structure page test","Go to Assignee Pet tab and check label","Go to Assignee Pet tab and check label",""
"passed","Mon May 30 11:45:24 EEST 2022","Mon May 30 11:45:47 EEST 2022","23650","","Client Corporate structure page test","","Client Corporate structure page test","Verify Other person Edit","Verify Other person Edit",""
"passed","Mon May 30 11:41:55 EEST 2022","Mon May 30 11:42:09 EEST 2022","13627","","Asignee Overview page test","","Asignee Overview page test","Assignee job Title input","Assignee job Title input",""
"passed","Mon May 30 11:47:23 EEST 2022","Mon May 30 11:47:34 EEST 2022","10678","","Client Corporate structure page test","","Client Corporate structure page test","Verify add document form","Verify add document form",""
"passed","Mon May 30 11:45:47 EEST 2022","Mon May 30 11:45:59 EEST 2022","11255","","Client Corporate structure page test","","Client Corporate structure page test","Verify Child person form ","Verify Child person form ",""
"passed","Mon May 30 11:41:02 EEST 2022","Mon May 30 11:41:32 EEST 2022","29689","","Asignee Overview page test","","Asignee Overview page test","Assignee name input","Assignee name input",""
"passed","Mon May 30 11:45:11 EEST 2022","Mon May 30 11:45:24 EEST 2022","12347","","Client Corporate structure page test","","Client Corporate structure page test","Verify Other person form ","Verify Other person form ",""
