"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 02 11:50:23 EEST 2022","Thu Jun 02 11:50:57 EEST 2022","34749","","Language Training Service, test","","Language Training Service, test","Verify service PurchaseOrder","Verify service PurchaseOrder",""
"passed","Thu Jun 02 11:49:17 EEST 2022","Thu Jun 02 11:49:23 EEST 2022","5829","","Language Training Service, test","","Language Training Service, test","Verify language training edit form witout saving ","Verify language training edit form witout saving ",""
"passed","Thu Jun 02 11:48:41 EEST 2022","Thu Jun 02 11:49:17 EEST 2022","35741","","Language Training Service, test","","Language Training Service, test","Verify language training form","Verify language training form",""
"passed","Thu Jun 02 11:49:23 EEST 2022","Thu Jun 02 11:49:35 EEST 2022","12479","","Language Training Service, test","","Language Training Service, test","Verify language training edit form with saving ","Verify language training edit form with saving ",""
"passed","Thu Jun 02 11:49:35 EEST 2022","Thu Jun 02 11:49:42 EEST 2022","7348","","Language Training Service, test","","Language Training Service, test","Verify Initiate service partner","Verify Initiate service partner",""
"passed","Thu Jun 02 11:48:22 EEST 2022","Thu Jun 02 11:48:41 EEST 2022","19380","","Language Training Service, test","","Language Training Service, test","Go to Services / Language training tab and check label","Go to Services / Language training tab and check label",""
"passed","Thu Jun 02 11:50:57 EEST 2022","Thu Jun 02 11:51:31 EEST 2022","33235","","Language Training Service, test","","Language Training Service, test","Verify service Sales Order","Verify service Sales Order",""
"broken","Thu Jun 02 11:49:55 EEST 2022","Thu Jun 02 11:50:23 EEST 2022","27334","","Language Training Service, test","","Language Training Service, test","Verify service documents","Verify service documents",""
"passed","Thu Jun 02 11:49:42 EEST 2022","Thu Jun 02 11:49:55 EEST 2022","12801","","Language Training Service, test","","Language Training Service, test","Verify remove service partner","Verify remove service partner",""
"passed","Thu Jun 02 11:51:31 EEST 2022","Thu Jun 02 11:51:55 EEST 2022","24442","","Language Training Service, test","","Language Training Service, test","Verify service Recurring Purchase Orders","Verify service Recurring Purchase Orders",""
